P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
219,8192,700,92,0.130883,0.201247,8.0,0.211027,200701.53362811447,71207.6936588712,2.818537201746748,Amdahl
220,4096,700,33,0.421324,0.608456,3.0,0.220844,211454.80231221896,74351.41484176276,2.8439916410769635,Amdahl
221,128,300,93,0.667712,0.743423,4.0,0.748051,122658.64736014491,43788.78219464055,2.801143151570849,Amdahl
222,8192,1000,71,0.623511,0.410596,4.0,0.72606,772128.0311555581,268176.6304029147,2.8791771676581037,Amdahl
223,128,500,37,0.168277,0.240408,9.0,0.157412,115402.4579379967,54608.56837707788,2.1132664958570357,Amdahl
224,1024,600,83,0.838923,0.223213,3.0,0.233695,224173.79454073927,84863.75272313808,2.6415729607443854,Amdahl
225,512,800,27,0.825223,0.895451,9.0,0.105794,101565.17489543193,38903.88400789121,2.6106692811142094,Amdahl
226,1024,300,94,0.40044,0.473125,1.0,0.480569,305091.72354412766,111732.28121788122,2.7305602303884755,Amdahl
227,256,400,20,0.742696,0.134324,4.0,0.54066,312947.33771101275,112346.4972788366,2.7855549152929804,Amdahl
228,8192,400,90,0.85929,0.240624,8.0,0.845339,272437.2723932602,72543.1931908356,3.7555180632395606,Amdahl
229,8192,200,27,0.585032,0.769977,1.0,0.690259,114170.56562767914,40288.55081889021,2.8338216020951457,Amdahl
230,1024,500,75,0.114038,0.697068,3.0,0.307851,159142.78050178444,56633.02921470252,2.810070072332796,Amdahl
231,256,100,94,0.771953,0.560014,10.0,0.568692,103579.37131475148,38444.170849535076,2.694280277760344,Amdahl
232,2048,800,74,0.690544,0.869602,5.0,0.881814,162982.3956162525,62846.404824159494,2.5933447756043893,Amdahl
233,2048,800,42,0.470686,0.549977,8.0,0.558031,265492.2538374091,89486.25007575906,2.96684969604429,Amdahl
234,128,400,47,0.412762,0.595044,4.0,0.800959,192797.23326955974,66993.35291094797,2.8778561587421767,Amdahl
235,1024,300,55,0.610289,0.392224,5.0,0.311971,120770.04456396983,46727.21827016225,2.5845759502676784,Amdahl
236,2048,500,18,0.329123,0.117396,7.0,0.83432,291707.551668768,93229.33608200516,3.1289244772930704,Amdahl
